time	V(inp)	V(out)
1.056396484374999e-009	3.488281e-001	4.858375e-001
1.058447265624999e-009	3.324219e-001	5.403557e-001
1.060498046874999e-009	3.160156e-001	5.943393e-001
1.062548828124999e-009	2.996094e-001	6.463725e-001
1.064599609374999e-009	2.832031e-001	6.933541e-001
1.066650390624999e-009	2.667969e-001	7.311213e-001
1.068701171874999e-009	2.503906e-001	7.573429e-001
1.070751953124999e-009	2.339844e-001	7.733461e-001
1.072802734374998e-009	2.175781e-001	7.825040e-001
1.074853515624998e-009	2.011719e-001	7.877715e-001
1.076904296874998e-009	1.847656e-001	7.909310e-001
1.078955078124998e-009	1.683594e-001	7.929389e-001
1.081005859374998e-009	1.519531e-001	7.942775e-001
1.083056640624998e-009	1.355469e-001	7.951912e-001
1.085107421874998e-009	1.191406e-001	7.958256e-001
1.087158203124998e-009	1.027344e-001	7.962746e-001
1.089208984374998e-009	8.632813e-002	7.965996e-001
1.091259765624998e-009	6.992187e-002	7.968410e-001
1.093310546874998e-009	5.351562e-002	7.970254e-001
1.097412109374998e-009	2.070313e-002	7.972875e-001
1.099462890624998e-009	4.296875e-003	7.973871e-001
1.100000000000000e-009	0.000000e+000	7.974107e-001
1.100205078125000e-009	0.000000e+000	7.978513e-001
1.100615234375000e-009	0.000000e+000	7.985275e-001
1.101435546875000e-009	0.000000e+000	7.992734e-001
1.103076171875000e-009	0.000000e+000	7.998207e-001
1.105126953125000e-009	0.000000e+000	7.999698e-001
1.109228515625000e-009	0.000000e+000	7.999727e-001
1.113330078125000e-009	0.000000e+000	7.999749e-001
1.117431640625000e-009	0.000000e+000	7.999765e-001
1.121533203125000e-009	0.000000e+000	7.999774e-001
1.125634765625000e-009	0.000000e+000	7.999777e-001
1.129736328125000e-009	0.000000e+000	7.999773e-001
1.133837890625000e-009	0.000000e+000	7.999762e-001
1.174853515624998e-009	0.000000e+000	7.999762e-001
1.790087890624983e-009	0.000000e+000	7.999762e-001
2.099462890624998e-009	0.000000e+000	7.999762e-001
2.100000000000000e-009	0.000000e+000	7.999762e-001
